date,R,M,CRM,CPI,IP,PC,OP,Q,Interv
1998-11-01,5.4,16254950,86166,85.96,48.43,47.5961770426552,17.9941673598549,0.008141333550435562,2119.797315515858
1998-12-01,4.95,16386722,48010,84.55,49.4,46.5247202807369,15.9318753678505,0.008291186468783683,976.8121428657277
1999-01-01,4.85,16512237,71015,83.98,47.76,46.3639618064004,17.141791386768,0.008401243384020835,1917.1649961984222
1999-02-01,4.75,16771813,45313,84.88,39.5,44.7528999185289,16.2813998561439,0.008239947264337508,1082.026209876258
1999-03-01,4.73,16782323,37197,83.26,51.22,43.9111330463942,18.8590170690153,0.008442380751371886,791.4165093694342
1999-04-01,4.72,16865595,74125,83.85,50.81,43.8996667184308,22.1763945421409,0.008361903169161302,1859.75795423387
1999-05-01,4.7,16825016,34133,84.08,51.56,44.0437791564905,22.5366253949268,0.008262414277451871,690.4591976830883
1999-06-01,4.74,17102521,76476,84.16,51.17,43.5489708545952,22.9690070409963,0.008165931732810714,1945.1220214115579
1999-07-01,4.84,17095659,-5432,83.63,51.55,43.2834896383067,25.8073289400256,0.008176614881439084,-576.8457987596628
1999-08-01,4.84,17128193,61924,84.87,51.43,44.15767330683,27.8624190391228,0.008170602173380177,1472.8805602659572
1999-09-01,4.84,17172967,32442,84.91,47.57,45.2382686257491,30.2100059581692,0.008263779852904718,579.7508250921696
1999-10-01,4.82,17217809,35484,85.44,52.88,45.0480949052443,29.7737702161102,0.008276775368316504,645.6383986928281
1999-11-01,4.83,17323929,55470,85.19,53.38,45.0761039711142,31.6796886952575,0.008267195767195768,1255.8865138640626
1999-12-01,4.73,17745013,89020,84.68,54.6,45.4031849688301,32.7740271856654,0.00831186102568365,2289.34674446389
2000-01-01,4.61,18029987,153042,84.41,52.57,46.4173365622541,33.4509886374177,0.008095854922279794,4229.796369891345
2000-02-01,4.61,18054346,121704,85.66,43.26,46.5298575109206,35.8520950743094,0.007816774798718049,3327.8800522984125
2000-03-01,4.64,18207841,-16780,84.19,56.25,45.9010003602446,36.3669275795101,0.008008970046452027,-1101.3195353762842
2000-04-01,4.65,18134795,56172,84.89,52.78,45.475100584061,32.4797934045581,0.007887057338906853,1345.4842295613298
2000-05-01,4.77,17985619,-33202,85.42,56,45.5812659851269,37.1248565662123,0.007756748371082843,-1608.536874836451
2000-06-01,4.8,18163703,4669,85.3,55.79,44.9504511015945,40.6858249215626,0.007922047056959518,-401.23547592118223
2000-07-01,4.79,18124578,14832,84.84,55.03,44.5495507947682,38.9152200863746,0.007954816641476414,-119.77728078241478
2000-08-01,4.75,18213849,4989,85.1,55.93,44.4176677831598,40.6902203596792,0.007914523149980214,-446.88774080793166
2000-09-01,4.8,18227342,-34830,86.29,56.03,44.7506503840654,44.6452489557366,0.007810059356451109,-1703.1047231029002
2000-10-01,4.76,18319169,-48335,86.31,56.69,44.0871668029727,44.0160986355991,0.007892659826361484,-2145.918447521699
2000-11-01,4.74,18498617,-37781,87.11,55.02,43.5446735282313,45.752860883908,0.007936507936507936,-1760.5516932193057
2000-12-01,4.72,18897797,-115403,86.07,54.89,44.4230005127958,42.7645046407171,0.008202099737532808,-4049.637191789008
2001-01-01,4.66,19124956,56520,86.4,46.65,44.59480300008,42.7081482780589,0.008034064433196755,1141.1903270503094
2001-02-01,4.52,19146698,79513,84.78,48.79,44.0124474757836,40.7203523135399,0.008087343307723413,1876.4208887957893
2001-03-01,4.36,19162826,48107,84.55,54.17,43.355847805011,37.7526468632122,0.008037939072421832,897.0177404022144
2001-04-01,4.23,19015563,24181,85.25,49.33,42.7868385704174,38.4958567741402,0.007985944737262418,222.49414244835077
2001-05-01,4.04,19009481,-6832,85.23,51.36,43.1944838178644,39.1444628913753,0.008114248620577734,-729.3960064661571
2001-06-01,3.9,19340247,-38576,85.18,48.49,42.6374435237531,37.8605400801384,0.008322929671244277,-1648.0426910543538
2001-07-01,3.69,19311877,7506,84.92,48.19,43.4839045496918,34.4544937140374,0.008411843876177659,-276.1497266050799
2001-08-01,3.51,19379706,61340,85.48,51.12,43.0760010230315,35.3492669089947,0.008492569002123142,1277.1307961760917
2001-09-01,3.17,19393523,73869,85.85,46.99,41.8393422017172,33.5993474158628,0.008524422470377631,1639.360553574853
2001-10-01,2.73,19349183,44217,87.15,51.75,40.0081328970668,29.0493958812622,0.008302889405513119,831.187396898062
